year_month,industry,ratio,country
202302,K-한식,14.22,일본
202302,K-뷰티웰니스,7.71,일본
202302,K-패션,11.29,일본
202302,K-문화체험,1.78,일본
202302,K-나이트컬처,0.95,일본
202302,K-스포츠,0.24,일본
202302,K-공연,0.22,일본
202303,K-라이프스타일푸드,37.42,일본
202303,K-쇼핑,25.0,일본
202303,K-한식,14.14,일본
202303,K-뷰티웰니스,8.05,일본
202303,K-패션,12.41,일본
202303,K-문화체험,1.77,일본
202303,K-나이트컬처,0.78,일본
202303,K-스포츠,0.23,일본
202303,K-공연,0.19,일본
202304,K-라이프스타일푸드,38.65,일본
202304,K-쇼핑,25.33,일본
202304,K-한식,14.82,일본
202304,K-뷰티웰니스,7.99,일본
202304,K-패션,10.48,일본
202304,K-문화체험,1.27,일본
202304,K-나이트컬처,0.95,일본
202304,K-스포츠,0.29,일본
202304,K-공연,0.23,일본
202305,K-라이프스타일푸드,36.88,일본
202305,K-쇼핑,25.49,일본
202305,K-한식,14.87,일본
202305,K-뷰티웰니스,8.83,일본
202305,K-패션,11.1,일본
202305,K-문화체험,1.29,일본
202305,K-나이트컬처,0.97,일본
202305,K-스포츠,0.31,일본
202305,K-공연,0.27,일본
202306,K-라이프스타일푸드,37.18,일본
202306,K-쇼핑,24.36,일본
202306,K-한식,13.84,일본
202306,K-뷰티웰니스,9.8,일본
202306,K-패션,12.07,일본
202306,K-문화체험,1.34,일본
202306,K-나이트컬처,0.9,일본
202306,K-스포츠,0.29,일본
202306,K-공연,0.23,일본
202307,K-라이프스타일푸드,37.24,일본
202307,K-쇼핑,24.4,일본
202307,K-한식,13.92,일본
202307,K-뷰티웰니스,9.91,일본
202307,K-패션,11.8,일본
202307,K-문화체험,1.43,일본
202307,K-나이트컬처,0.84,일본
202307,K-스포츠,0.25,일본
202307,K-공연,0.22,일본
202308,K-라이프스타일푸드,37.81,일본
202308,K-쇼핑,24.87,일본
202308,K-한식,13.98,일본
202308,K-뷰티웰니스,8.95,일본
202308,K-패션,11.27,일본
202308,K-문화체험,1.79,일본
202308,K-나이트컬처,0.77,일본
202308,K-스포츠,0.3,일본
202308,K-공연,0.26,일본
202309,K-라이프스타일푸드,37.58,일본
202309,K-쇼핑,23.98,일본
202309,K-한식,13.79,일본
202309,K-뷰티웰니스,9.92,일본
202309,K-패션,12.07,일본
202309,K-문화체험,1.39,일본
202309,K-나이트컬처,0.85,일본
202309,K-스포츠,0.25,일본
202309,K-공연,0.19,일본
