visitor_count,visitor_lag1,visitor_lag2,visitor_lag3,visitor_mom_growth,visitor_3m_avg,visitor_6m_avg,visitor_vs_3m_avg,visitor_rolling_std,country_share,buzz_volume,engagement,potential_exposure,buzz_mom_growth,engagement_mom_growth,exposure_mom_growth,engagement_per_visitor,buzz_per_visitor,buzz_vs_3m_avg,positive_pct,negative_pct,month,quarter,is_peak_season,exchange_rate,oil_price,priority_label
418703.0,393834.0,377866.0,472477.0,0.06314589395532128,414725.6666666667,492354.6666666667,1.0095902753386374,50647.37537457745,0.4527718152375494,33117,79656,446904,0.05666698573753231,0.44443034072569676,0.0,0.19024463641292277,0.0790942505785724,0.9585978657301093,73.68056517523203,26.31943482476797,1,1,0,205.46,61.97,High
504563.0,418703.0,393834.0,377866.0,0.20506182186418534,396801.0,461780.6666666667,1.271576936550059,20579.539815069285,0.4810456407166447,30004,113776,446904,-0.09400006039194371,0.4283418700411771,0.0,0.22549414047403396,0.059465319494295066,0.9129932041789227,75.46313245954455,24.536867540455447,2,1,0,207.91,68.4,High
501060.0,504563.0,418703.0,393834.0,-0.006942641454089975,439033.3333333333,445104.8333333333,1.1412800850353049,58096.641041744886,0.3613152029144045,32585,267098,446904,0.0860218637514998,1.3475776965265083,0.0,0.5330659002913822,0.06503213188041353,1.0348605788571066,72.22572509457756,27.77427490542245,3,1,1,218.7,128.52,Medium
574283.0,501060.0,504563.0,418703.0,0.14613619127449806,474775.3333333333,444750.5,1.2095889564608102,48591.64204195365,0.43656804634767293,43716,224959,446904,0.3415988951971766,-0.15776606339246269,0.0,0.39172150316133336,0.07612274784383309,1.3703216099304119,79.10077234277307,20.89922765722692,4,2,1,215.9,105.7,High
57026.0,76104.0,46068.0,51312.0,-0.2506832755177126,57828.0,53786.0,0.9861312858822716,16043.19220105525,0.05476392146016637,1312,1402,45071,0.46265328874024525,0.5272331154684096,4.798404734336807,0.02458527689124259,0.023007049416055834,1.14219384793964,95.54140127388536,4.45859872611465,5,2,1,151.64,69.38,Low
61728.0,57026.0,76104.0,46068.0,0.08245361764809034,59732.666666666664,54325.333333333336,1.0334043906740031,15199.830832391961,0.05918051552855771,748,130,45071,-0.4298780487804878,-0.9072753209700428,0.0,0.0021060134784862622,0.01211767755313634,0.6017699115044248,73.80952380952381,26.190476190476197,6,2,0,148.0,61.78,Low
59036.0,61728.0,57026.0,76104.0,-0.0436106791083463,64952.666666666664,54689.0,0.9089080253312669,9939.385158717481,0.05548428449652401,1306,390,45071,0.7459893048128342,2.0,0.0,0.006606138627278271,0.022122094992885696,1.3249915454852892,85.71428571428571,14.285714285714285,7,3,0,151.31,63.28,Low
65958.0,59036.0,61728.0,57026.0,0.1172504912256928,59263.333333333336,58545.666666666664,1.1129647336745598,2359.2289700945316,0.056394554973105755,931,142,45071,-0.2871362940275651,-0.6358974358974359,0.0,0.0021528851693501925,0.014115042906091755,0.8297682709447415,38.94736842105263,61.05263157894737,8,3,0,154.97,59.13,Low
45911.0,65958.0,59036.0,61728.0,-0.3039358379574881,62240.666666666664,60986.666666666664,0.73763670054948,3489.3611640719146,0.04448925681980935,1176,255,45071,0.2631578947368421,0.795774647887324,0.0,0.005554224477793993,0.02561477641523818,1.1819095477386934,62.7906976744186,37.2093023255814,9,3,1,153.3,61.13,Low
65544.0,45911.0,65958.0,59036.0,0.42763172224521356,56968.333333333336,60960.5,1.1505339223545243,10182.189663001438,0.059004899970562366,4297,1977,45071,2.6539115646258504,6.752941176470588,0.0,0.03016294397656536,0.06555901379226169,3.777029006738939,78.42323651452283,21.57676348547718,10,4,1,149.03,59.39,Low
